日期,酒名,价格,涨跌,分类,规格
2025-12-26,五粮液普五八代,920.0,↓4,五粮液,散瓶
2025-12-26,国窖1573,830.0,↑2,国窖,散瓶
2025-12-26,精品茅台,2308.0,↑28,茅台,散瓶
2025-12-26,飞天茅台,1602.0,↑2,茅台,散瓶
2025-12-26,青花郎,680.0,↑5,郎酒,散瓶
2025-12-24,24年飞天原箱,1630.0,↑30,茅台,原箱
2025-12-24,24年飞天散瓶,1615.0,↑35,茅台,散瓶
2025-12-24,25年飞天原箱,1600.0,↑40,茅台,原箱
2025-12-24,25年飞天散瓶,1590.0,↑40,茅台,散瓶
2025-12-24,彩釉珍品,3250.0,,茅台,散瓶
2025-12-24,散花飞天,2480.0,↑100,茅台,散瓶
2025-12-24,生肖蛇原箱,2000.0,↑230,茅台,原箱
2025-12-24,精品茅台,2280.0,↑30,茅台,散瓶
2025-12-24,茅台十五年,4150.0,↑80,茅台,散瓶
2025-12-17,飞天原箱,1570.0,,茅台,原箱
2025-12-17,飞天散瓶,1550.0,,茅台,散瓶
2025-12-15,彩釉珍品,2950.0,,茅台,散瓶
2025-12-15,散花飞天,2200.0,,茅台,散瓶
2025-12-15,生肖蛇原箱,1610.0,,茅台,原箱
2025-12-15,精品茅台,2070.0,,茅台,散瓶
2025-12-15,茅台十五年,3600.0,,茅台,散瓶
2025-12-14,25年飞天原箱,1590.0,↑70,茅台,原箱
2025-12-14,25年飞天散瓶,1570.0,↑70,茅台,散瓶
2025-12-13,25年飞天原箱,1520.0,↑25,茅台,原箱
2025-12-13,25年飞天散瓶,1500.0,↑20,茅台,散瓶
2025-12-12,25年飞天原箱,1495.0,↓15,茅台,原箱
2025-12-12,25年飞天散瓶,1485.0,↓15,茅台,散瓶
2025-12-04,飞天茅台,1545.0,,茅台,散瓶
