酒名,价格,单位,涨跌,日期,来源
飞天原箱,2290.0,元/瓶,↑55,2024-12-05,不二酱数据(新闻引用)
飞天散瓶,2210.0,元/瓶,↑20,2024-12-05,不二酱数据(新闻引用)
飞天原箱,2235.0,元/瓶,,2024-12-01,不二酱数据(新闻引用)
飞天散瓶,2190.0,元/瓶,,2024-12-01,不二酱数据(新闻引用)
2025年飞天散瓶,1640.0,元/瓶,,2024-11-04,不二酱数据(新闻引用)
飞天原箱,2280.0,元/瓶,↑50,2024-11-03,不二酱数据(新闻引用)
飞天原箱,2230.0,元/瓶,↑80,2024-11-02,不二酱数据(新闻引用)
飞天散瓶,2210.0,元/瓶,↑70,2024-11-02,不二酱数据(新闻引用)
飞天原箱,2300.0,元/瓶,↑130,2024-11-01,不二酱数据(新闻引用)
飞天散瓶,2270.0,元/瓶,↑140,2024-11-01,不二酱数据(新闻引用)
飞天散瓶,2430.0,元/瓶,,2024-06-11,不二酱数据(新闻引用)
飞天散瓶,2320.0,元/瓶,↓80,2024-06-11,不二酱数据(新闻引用)
飞天茅台,2700.0,元/瓶,年初参考价,2024-01-01,不二酱数据(新闻引用)
