日期,酒名,价格,涨跌,来源,分类,规格
2025-12-26,五粮液普五八代,920.0,↓4,今日酒价,五粮液,散瓶
2025-12-26,古井贡古20,520.0,↑7,今日酒价,古井贡,散瓶
2025-12-26,国窖1573,830.0,↑2,今日酒价,国窖,散瓶
2025-12-26,精品茅台,2308.0,↑28,今日酒价,茅台,散瓶
2025-12-26,飞天茅台,1602.0,↑2,今日酒价,茅台,散瓶
2025-12-26,青花郎,680.0,↑5,今日酒价,郎酒,散瓶
2025-12-24,24年飞天原箱,1630.0,↑30,今日酒价,茅台,原箱
2025-12-24,24年飞天散瓶,1615.0,↑35,今日酒价,茅台,散瓶
2025-12-24,25年飞天原箱,1600.0,↑40,今日酒价,茅台,原箱
2025-12-24,25年飞天散瓶,1590.0,↑40,今日酒价,茅台,散瓶
2025-12-24,彩釉珍品,3250.0,,不二酱,茅台,散瓶
2025-12-24,彩釉珍品,3250.0,,今日酒价,茅台,散瓶
2025-12-24,散花飞天,2480.0,↑100,今日酒价,茅台,散瓶
2025-12-24,生肖蛇原箱,2000.0,↑230,不二酱,茅台,原箱
2025-12-24,生肖蛇原箱,2000.0,↑230,今日酒价,茅台,原箱
2025-12-24,精品茅台,2280.0,↑30,今日酒价,茅台,散瓶
2025-12-24,茅台十五年,4150.0,↑80,今日酒价,茅台,散瓶
2025-12-22,飞天茅台(零售),1700.0,,不二酱,茅台,散瓶
2025-12-22,飞天茅台原箱(零售),1720.0,,不二酱,茅台,原箱
2025-12-17,飞天原箱,1570.0,,今日酒价,茅台,原箱
2025-12-17,飞天散瓶,1550.0,,今日酒价,茅台,散瓶
2025-12-15,25年飞天散瓶,1560.0,,今日酒价,茅台,散瓶
2025-12-15,彩釉珍品,2950.0,,今日酒价,茅台,散瓶
2025-12-15,散花飞天,2200.0,,今日酒价,茅台,散瓶
2025-12-15,生肖蛇原箱,1610.0,,今日酒价,茅台,原箱
2025-12-15,精品茅台,2070.0,,今日酒价,茅台,散瓶
2025-12-15,茅台十五年,3600.0,,今日酒价,茅台,散瓶
2025-12-14,25年飞天原箱,1590.0,↑70,今日酒价,茅台,原箱
2025-12-14,25年飞天散瓶,1570.0,↑70,今日酒价,茅台,散瓶
2025-12-13,25年飞天原箱,1520.0,↑25,今日酒价,茅台,原箱
2025-12-13,25年飞天散瓶,1500.0,↑20,今日酒价,茅台,散瓶
2025-12-12,25年飞天原箱,1495.0,↓15,今日酒价,茅台,原箱
2025-12-12,25年飞天散瓶,1485.0,↓15,今日酒价,茅台,散瓶
2025-12-04,飞天茅台,1545.0,,今日酒价,茅台,散瓶
